date,strategy,equity,drawdown
2025-06-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326092,-0.012337956032421271
2025-06-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-06-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-06-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.1538326091,-0.012337956032421493
2025-06-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-14,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-15,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-16,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-17,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-18,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-19,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-20,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-21,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-22,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-23,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-24,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279458.15383260907,-0.012337956032421715
2025-06-25,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-06-26,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-06-27,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-06-28,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-06-29,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-06-30,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-14,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-15,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-16,RF_TOP_30_EXCLUDE_NEG_RATIO_50,279022.45423835394,-0.013877807154731858
2025-07-17,RF_TOP_30_EXCLUDE_NEG_RATIO_50,281594.20849322615,-0.004788703726850363
2025-07-18,RF_TOP_30_EXCLUDE_NEG_RATIO_50,281594.20849322615,-0.004788703726850363
2025-07-19,RF_TOP_30_EXCLUDE_NEG_RATIO_50,281594.20849322615,-0.004788703726850363
2025-07-20,RF_TOP_30_EXCLUDE_NEG_RATIO_50,281594.20849322615,-0.004788703726850363
2025-07-21,RF_TOP_30_EXCLUDE_NEG_RATIO_50,281594.20849322615,-0.004788703726850363
2025-07-22,RF_TOP_30_EXCLUDE_NEG_RATIO_50,281594.20849322615,-0.004788703726850363
2025-07-23,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283332.81236884603,0.0
2025-07-24,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283332.81236884603,0.0
