date,equity,cash,open_alloc,n_open,strategy
2025-05-12,279458.1538326091,167842.49200269807,111615.66182991106,8,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-03,279458.1538326092,139896.67661943717,139561.47721317198,10,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-06,279458.1538326091,111950.86123617625,167507.29259643288,12,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-09,279458.15383260907,84005.04585291533,195453.10797969377,14,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-16,279458.15383260907,70032.13816128488,209426.01567132422,15,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-18,279458.15383260907,42086.32277802397,237371.8310545851,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-20,279458.15383260907,14140.50739476306,265317.646437846,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-23,279458.15383260907,167.59970313260783,279290.5541294765,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-06-25,279022.45423835394,13736.165481420177,265286.28875693376,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-07-17,281594.20849322615,16576.019627414957,265018.1888658112,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-07-23,283332.81236884603,18239.17845091623,265093.6339179298,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-07-25,284965.0837901732,19709.074626343783,265256.0091638294,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-07-29,284359.5872704463,18718.28262082187,265641.30464962445,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-07-30,283093.1833860387,31106.582305204887,251986.60108083382,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-08-06,284094.8714969648,17661.910781240807,266432.96071572404,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-08-20,283021.625872331,30199.797487840173,252821.82838449083,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-08-26,283021.625872331,1897.634900607074,281123.9909717239,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-08-29,285831.614413762,32653.43882529894,253178.17558846305,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-09-02,285831.614413762,18361.85810461084,267469.7563091512,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-09-04,287445.9355662002,47921.994640309924,239523.94092589026,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-09-08,287445.93556620023,4805.104305379895,282640.8312608203,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-09-25,287615.66604298307,61366.89005541374,226248.77598756933,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-09-26,289598.6689019719,49058.312193714475,240540.35670825743,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-01,289202.48130916024,76918.12648938224,212284.354819778,15,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-02,315121.38128416357,116322.7177821885,198798.66350197507,14,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-03,315121.3812841636,69054.51058956397,246066.87069459964,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-06,315121.3812841636,53298.44152535579,261822.93975880783,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-07,315121.3812841636,37542.37246114761,277579.008823016,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-08,315078.51623255876,51666.148027985095,263412.3682045737,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-09,317296.84338471794,50721.828026828814,266575.0153578891,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-13,318968.0853065998,38020.773170400666,280947.31213619915,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-14,327954.0220691605,89216.04898950458,238737.97307965593,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-15,329594.67835554597,75100.63621168182,254494.04214386412,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-16,327954.02206916054,72818.34788604655,255135.67418311397,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-17,327954.0220691605,56420.64678258853,271533.375286572,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-20,327954.0220691605,40022.9456791305,287931.07639003,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-22,327954.0220691605,23625.244575672474,304328.777493488,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-10-30,326488.3974289748,37913.54574711468,288574.8516818601,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-03,326488.39742897474,21589.12587566594,304899.2715533088,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-14,325395.79844370065,36252.595954600016,289143.20248910063,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-17,329493.31204356614,54084.64288599734,275408.66915756883,18,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-18,329493.3120435662,21135.311681640724,308358.00036192546,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-19,332113.93522521213,37973.914226808934,294140.0209984032,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-20,335799.9530917355,85511.6027100762,250288.35038165931,16,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-21,335963.59719719854,69277.54571208118,266686.05148511735,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-11-28,349922.70373558224,46679.10631042405,303243.5974251582,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-12-01,349922.7037355823,29182.97112364494,320739.73261193733,20,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-12-08,349278.7607221456,42919.811412357456,306358.9493097882,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-12-12,350863.65734473144,41191.85129245262,309671.80605227884,19,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-12-15,349577.55121631094,72136.47983041863,277441.0713858923,17,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2025-12-31,387334.7756456341,387334.7756456341,0.0,0,RF_TOP_30_EXCLUDE_NEG_RATIO_50
2023-01-04,200000.0,200000.0,0.0,0,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-01-06,200000.0,110000.0,90000.0,9,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-01-10,200000.0,30000.0,170000.0,17,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-01-11,200000.0,0.0,200000.0,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-02,199183.34317783188,9183.343177831877,190000.0,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-14,198997.82382055224,29814.48064272035,169183.34317783188,17,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-15,199330.3681589362,10147.024981104329,189183.34317783188,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-21,199491.27713365006,20307.93395581819,179183.34317783188,18,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-23,198106.4788560637,38923.13567823183,159183.34317783188,16,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-24,197677.1715467067,58493.82836887482,139183.34317783188,14,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-27,197677.1715467067,48609.969791539486,149067.20175516722,15,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-02-28,197262.95057192165,58195.748816754436,139067.20175516722,14,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-01,197262.95057192165,48332.60128815835,148930.3492837633,15,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-06,196273.8107403045,56526.80463437308,139747.00610593142,14,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-08,196273.81074030453,36899.423560342635,159374.3871799619,16,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-10,196386.7067454918,97012.31956552994,99374.38717996186,10,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-13,195318.78582903725,135758.0891860906,59560.69664294664,6,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-17,196724.35964425004,127349.97246428818,69374.38717996186,7,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-03-28,196509.0722640637,77134.68508410183,119374.38717996186,12,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-04-12,195318.78582903725,125992.14989463873,69326.63593439851,7,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-04-14,193979.4424425317,134536.66508546853,59442.77735706317,6,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-04-17,193979.4424425317,124837.69296334195,69141.74947918975,7,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-04-21,193979.4424425317,115138.72084121537,78840.72160131633,8,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-01,195897.65156525892,127056.92996394259,68840.72160131634,7,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-02,195810.8363320798,166435.02614434191,29375.810187737894,3,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-03,197129.9232042137,158055.14089434923,39074.78230986448,4,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-05,197716.63217694213,138875.91057562578,58840.72160131634,6,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-10,195810.83633207978,156644.4843277379,39166.35200434188,4,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-15,195810.83633207978,137063.40069452993,58747.43563754986,6,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-05-31,195810.83633207978,127272.85887792594,68537.97745415385,7,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-01,195810.83633207978,117482.31706132196,78328.51927075784,8,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-05,195810.83633207978,107691.77524471797,88119.06108736183,9,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-06,195810.83633207978,97901.23342811398,97909.60290396582,10,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-07,195810.83633207978,88110.69161150999,107700.1447205698,11,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-08,195810.83633207978,78320.149794906,117490.6865371738,12,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-12,195810.83633207972,9786.357078678084,186024.47925340163,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-13,195810.83633207972,0.0,195810.83633207972,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-14,196017.91086915656,10070.222065672902,185947.68880348367,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-06-15,196017.91086915656,269.3265222150749,195748.5843469415,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-07-03,197622.31205523573,11687.418245309429,185934.8938099263,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-07-13,197622.31205523573,1806.3026425476419,195816.0094126881,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-07-21,196994.32970266082,10968.862106576698,186025.4675960841,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-07-24,196994.32970266082,1119.1456214436566,195875.18408121716,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-03,197968.49769838722,31373.369372504625,166595.1283258826,17,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-09,198015.8533086404,21630.183166153784,176385.6701424866,18,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-10,198254.72256161823,12078.510602527645,186176.21195909058,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-11,197968.49769838725,11576.519602665901,186391.97809572134,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-17,198669.2209392012,31868.68020354165,166800.54073565954,17,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-18,197423.61089480604,40472.78664427956,156950.8242505265,16,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-23,197423.610894806,20730.425554798952,176693.18534000707,18,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-25,197423.61089480598,988.0644653183517,196435.54642948764,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-29,197348.55083164544,10703.546218761818,186645.0046128836,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-08-31,197348.5508316454,836.1186771795456,196512.43215446587,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-09-05,205731.8061105528,19009.915772690918,186721.8903378619,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-09-06,205731.80611055283,8723.325467163279,197008.48064338954,20,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-09-07,205989.7874116794,18771.848584893844,187217.93882678557,19,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-09-08,211811.02898747672,33874.68442331515,177936.34456416155,18,RF_TOP_30_EXCLUDE_NEWS_EXTREME
2023-09-12,212067.31180751123,43921.50905995362,168145.8027475576,17,RF_TOP_30_EXCLUDE_NEWS_EXTREME
