entry_date,daily_mean_return,n_signals,equity_proxy,drawdown_proxy,strategy
2023-01-31,-0.0048728162266787845,12,0.9790606161570722,-0.10853421238972838,RandomForest_TOP_30
2023-02-01,0.09172448893182539,5,1.0688644508073577,-0.026764968620969,RandomForest_TOP_30
2023-02-02,-0.1077102110269473,1,0.9537368352516951,-0.1315923192296221,RandomForest_TOP_30
2023-02-03,-0.0452370735437512,3,0.9105925718940296,-0.17087654135059016,RandomForest_TOP_30
2023-02-07,0.06656945037181031,2,0.9712102189176685,-0.1156822484179244,RandomForest_TOP_30
2023-02-27,-0.135508149578017,1,0.8396033193008744,-0.23551451057380401,RandomForest_TOP_30
2023-03-01,0.0209947723560306,1,0.857230599858964,-0.2194643117538123,RandomForest_TOP_30
2023-03-08,0.010130101928340754,2,0.8659144332116281,-0.21155740567317072,RandomForest_TOP_30
2023-04-06,0.1274550333754827,1,0.9762795861969283,-0.1110664284985925,RandomForest_TOP_30
2023-04-12,-0.0728634422901939,1,0.9051444949089741,-0.17583718848550134,RandomForest_TOP_30
2023-04-17,0.1299511786493364,1,1.0227690888703536,-0.06873625973024133,RandomForest_TOP_30
2023-04-21,-0.1360027491082928,1,0.8836696810810016,-0.19539068855179964,RandomForest_TOP_30
2023-05-10,0.8562606070166656,1,1.6403212186056435,0.0,RandomForest_TOP_30
2023-05-15,0.29728904103779646,2,2.127970740678865,0.0,RandomForest_TOP_30
2023-05-22,0.08802132859528945,2,2.315277552485321,0.0,RandomForest_TOP_30
2023-05-26,0.1027897691850433,1,2.553264397704599,0.0,RandomForest_TOP_30
2023-05-31,-0.0243979605472648,1,2.4909699536626664,-0.02439796054726484,RandomForest_TOP_30
2023-06-01,0.0650644444245511,1,2.6530435297759776,0.0,RandomForest_TOP_30
2023-06-05,0.363476569004706,1,3.6173626893990845,0.0,RandomForest_TOP_30
2023-06-06,0.0814764481780077,1,3.9120925531029673,0.0,RandomForest_TOP_30
2023-06-07,0.1043244691853868,1,4.320219532109539,0.0,RandomForest_TOP_30
2023-06-08,-0.0076665893028747,1,4.287098183258598,-0.007666589302874671,RandomForest_TOP_30
2023-06-12,0.01717634670437524,7,4.360734868009945,0.0,RandomForest_TOP_30
2023-06-13,0.05976662553985553,3,4.621361275944886,0.0,RandomForest_TOP_30
2023-06-15,-0.0026687172260884662,3,4.609028169499794,-0.002668717226088302,RandomForest_TOP_30
2023-06-16,-0.0180900739825089,1,4.525650508926075,-0.020710513916538886,RandomForest_TOP_30
2023-06-20,-0.0256071665042156,1,4.4097614228041175,-0.04578734284250574,RandomForest_TOP_30
2023-06-22,-0.0240539950726741,2,4.303689043268319,-0.06873996939605542,RandomForest_TOP_30
2023-06-23,-0.0883575665158786,1,3.9234255523640806,-0.15102383949372256,RandomForest_TOP_30
2023-06-26,0.0038471897335620683,3,3.938519714869531,-0.14775766712498384,RandomForest_TOP_30
2023-06-27,0.01701256791577557,3,4.00552404900637,-0.1332588365562486,RandomForest_TOP_30
2023-06-29,0.0023959284626381854,7,4.015120998083166,-0.13118218673301363,RandomForest_TOP_30
2023-06-30,-0.1878732230861899,1,3.2607872750922415,-0.2944097895861779,RandomForest_TOP_30
2023-07-13,-0.03684499800180853,4,3.1406435744571453,-0.32040725947897075,RandomForest_TOP_30
2023-07-24,-0.10009558680814992,7,2.8262790129166118,-0.38843149363198204,RandomForest_TOP_30
2023-07-25,-0.0379906812971656,1,2.718906747680029,-0.41166539784879297,RandomForest_TOP_30
2023-07-26,-0.029940281921418233,3,2.6375019131364423,-0.4292803017013256,RandomForest_TOP_30
2023-07-27,-0.0623837303741653,1,2.4729647049259933,-0.4648839254792151,RandomForest_TOP_30
2023-07-28,-0.0972671619886805,1,2.2324264463796673,-0.5169331473823751,RandomForest_TOP_30
2023-08-11,-0.057316458809764104,2,2.104471667919919,-0.5446208287427956,RandomForest_TOP_30
2023-08-17,-0.076527693243388,1,1.9434213056779424,-0.5794699462701951,RandomForest_TOP_30
