fold,model,feature,importance
2,RandomForest,num__feat_regime_breadth_entry_events,0.03210074675556295
2,RandomForest,num__feat_regime_market_ret_5d_mean,0.040596147996630104
2,RandomForest,num__feat_regime_market_ret_20d_mean,0.0388616787241343
2,RandomForest,num__feat_regime_market_vol_20d_mean,0.2118232383388562
2,RandomForest,num__feat_regime_market_volume_rel_mean,0.0355284549220919
2,RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.00031883628166496286
2,RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,6.072882801373742e-05
2,RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.0014161420023394368
2,RandomForest,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0003291378676071681
2,RandomForest,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.00021513673950064363
2,RandomForest,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.00039832080378119316
2,RandomForest,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.00033585258223942864
2,RandomForest,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.001902302582200472
2,RandomForest,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0
2,XGBoost,num__feat_technical_priority_score,0.020919328555464745
2,XGBoost,num__feat_kumo_actual_thickness_pct_signal,0.02069946378469467
2,XGBoost,num__feat_volume_rel_signal,0.020951246842741966
2,XGBoost,num__feat_stoch_k_entry,0.02485029585659504
2,XGBoost,num__feat_stoch_d_entry,0.021167906001210213
2,XGBoost,num__feat_stoch_k_minus_d_entry,0.0197543166577816
2,XGBoost,num__feat_stoch_not_extreme_overbought,0.0
2,XGBoost,num__feat_tenkan_sobre_kijun,0.017781110480427742
2,XGBoost,num__feat_tk_cross_up_today,0.0
2,XGBoost,num__feat_tk_cross_up_recent,0.02642468735575676
2,XGBoost,num__feat_chikou_above_close_22ago,0.03825899586081505
2,XGBoost,num__feat_chikou_above_high_22ago,0.0176637414842844
2,XGBoost,num__feat_chikou_above_kumo_22ago,0.0
2,XGBoost,num__feat_dollar_volume_ma20,0.02261529676616192
2,XGBoost,num__feat_kumo_actual_thickness_abs,0.022195596247911453
2,XGBoost,num__feat_kumo_actual_thickness_pct_daily,0.01734229177236557
2,XGBoost,num__feat_volume_rel_daily,0.01702648401260376
2,XGBoost,num__feat_stoch_k_daily,0.022116366773843765
2,XGBoost,num__feat_stoch_d_daily,0.02223927527666092
2,XGBoost,num__feat_ret_5d_prior,0.022710762917995453
2,XGBoost,num__feat_ret_10d_prior,0.019619286060333252
2,XGBoost,num__feat_ret_20d_prior,0.019919082522392273
2,XGBoost,num__feat_volatility_20d_prior,0.023104647174477577
2,XGBoost,num__feat_dist_close_to_kijun_pct,0.023692408576607704
2,XGBoost,num__feat_dist_close_to_tenkan_pct,0.020211488008499146
2,XGBoost,num__feat_dist_close_to_kumo_top_pct,0.020706184208393097
2,XGBoost,num__feat_dist_close_to_kumo_bottom_pct,0.02438759244978428
2,XGBoost,num__feat_stoch_k_minus_d_daily,0.01727595366537571
2,XGBoost,num__feat_senkou_a_minus_b_pct,0.015911482274532318
2,XGBoost,num__feat_regime_breadth_precio_sobre_kumo,0.03476087749004364
2,XGBoost,num__feat_regime_breadth_kumo_actual_alcista,0.04277273640036583
2,XGBoost,num__feat_regime_breadth_kumo_futuro_alcista,0.03187371417880058
2,XGBoost,num__feat_regime_breadth_ha2_bullish,0.025021007284522057
2,XGBoost,num__feat_regime_breadth_tenkan_sobre_kijun,0.026652423664927483
2,XGBoost,num__feat_regime_breadth_chikou_sobre_kumo,0.033586908131837845
2,XGBoost,num__feat_regime_breadth_entry_events,0.022438863292336464
2,XGBoost,num__feat_regime_market_ret_5d_mean,0.023405633866786957
2,XGBoost,num__feat_regime_market_ret_20d_mean,0.028592662885785103
2,XGBoost,num__feat_regime_market_vol_20d_mean,0.058509569615125656
2,XGBoost,num__feat_regime_market_volume_rel_mean,0.024340469390153885
2,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0
2,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0
2,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.01764100417494774
2,XGBoost,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0
2,XGBoost,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0
2,XGBoost,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.021941659972071648
2,XGBoost,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.02764921635389328
2,XGBoost,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.021267905831336975
2,XGBoost,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0
3,RandomForest,num__feat_technical_priority_score,0.004908888988822285
3,RandomForest,num__feat_kumo_actual_thickness_pct_signal,0.015559451074411848
3,RandomForest,num__feat_volume_rel_signal,0.010134255354033549
3,RandomForest,num__feat_stoch_k_entry,0.015720537077934176
3,RandomForest,num__feat_stoch_d_entry,0.015257246716446389
3,RandomForest,num__feat_stoch_k_minus_d_entry,0.00891194493535959
3,RandomForest,num__feat_stoch_not_extreme_overbought,0.0006792409215925624
3,RandomForest,num__feat_tenkan_sobre_kijun,0.0006740945123392702
3,RandomForest,num__feat_tk_cross_up_today,0.00024363757731859766
3,RandomForest,num__feat_tk_cross_up_recent,0.0006152212668084517
3,RandomForest,num__feat_chikou_above_close_22ago,0.002049278104544594
3,RandomForest,num__feat_chikou_above_high_22ago,0.0023051436118611984
3,RandomForest,num__feat_chikou_above_kumo_22ago,0.0
3,RandomForest,num__feat_dollar_volume_ma20,0.013527858416391304
3,RandomForest,num__feat_kumo_actual_thickness_abs,0.010234042101290709
3,RandomForest,num__feat_kumo_actual_thickness_pct_daily,0.015168013865327205
3,RandomForest,num__feat_volume_rel_daily,0.008530305398455245
3,RandomForest,num__feat_stoch_k_daily,0.016497204165826757
3,RandomForest,num__feat_stoch_d_daily,0.014417825492656099
3,RandomForest,num__feat_ret_5d_prior,0.012625882684443729
3,RandomForest,num__feat_ret_10d_prior,0.013656231849184488
3,RandomForest,num__feat_ret_20d_prior,0.017774087789756202
3,RandomForest,num__feat_volatility_20d_prior,0.02193991029945594
3,RandomForest,num__feat_dist_close_to_kijun_pct,0.032714239168498124
3,RandomForest,num__feat_dist_close_to_tenkan_pct,0.009625110941228332
3,RandomForest,num__feat_dist_close_to_kumo_top_pct,0.03139719336587005
3,RandomForest,num__feat_dist_close_to_kumo_bottom_pct,0.03212172184356143
3,RandomForest,num__feat_stoch_k_minus_d_daily,0.010799997598490783
3,RandomForest,num__feat_senkou_a_minus_b_pct,0.013458161174958544
3,RandomForest,num__feat_regime_breadth_precio_sobre_kumo,0.05090381539771975
3,RandomForest,num__feat_regime_breadth_kumo_actual_alcista,0.05846028265711775
3,RandomForest,num__feat_regime_breadth_kumo_futuro_alcista,0.04450656908497697
3,RandomForest,num__feat_regime_breadth_ha2_bullish,0.015853939857892827
3,RandomForest,num__feat_regime_breadth_tenkan_sobre_kijun,0.03341649633808618
3,RandomForest,num__feat_regime_breadth_chikou_sobre_kumo,0.06807895170739389
3,RandomForest,num__feat_regime_breadth_entry_events,0.041156169831936186
3,RandomForest,num__feat_regime_market_ret_5d_mean,0.04588271570355813
3,RandomForest,num__feat_regime_market_ret_20d_mean,0.034016169297467765
