score_decile,n,success_rate,mean_return,median_return,score_min,score_max,fold,model,test_year
2,143,0.5104895104895105,0.029777121364016418,0.0065269173618638,0.5953769087791443,0.6274190545082092,2,XGBoost,2024
3,143,0.6223776223776224,0.024486917051966272,0.0263554691863356,0.5692384243011475,0.5953006744384766,2,XGBoost,2024
4,143,0.6013986013986014,0.029366238926493097,0.0276344575285827,0.5399836301803589,0.5691317319869995,2,XGBoost,2024
5,143,0.6223776223776224,0.04271957432024037,0.0227539791332248,0.5146294832229614,0.5394937992095947,2,XGBoost,2024
6,142,0.6126760563380281,0.037851984052123616,0.021908488616508848,0.4928146302700043,0.5143565535545349,2,XGBoost,2024
7,143,0.5734265734265734,0.02159000896298942,0.0102714681010421,0.473626971244812,0.492647647857666,2,XGBoost,2024
8,143,0.5314685314685315,0.016094315709415732,0.0064028615591868,0.45438894629478455,0.47341975569725037,2,XGBoost,2024
9,143,0.5384615384615384,0.025667657248256464,0.0137764896284877,0.4277038276195526,0.4541700482368469,2,XGBoost,2024
10,143,0.5034965034965035,0.01032131274327101,0.0028616208412937,0.24099023640155792,0.42760762572288513,2,XGBoost,2024
1,93,0.5591397849462365,0.054832962896996566,0.0091475672163821,0.0,0.0,3,Dummy,2025
2,92,0.4891304347826087,0.04163950275304366,-0.0033961038868780997,0.0,0.0,3,Dummy,2025
3,92,0.4673913043478261,0.036617898734492435,-0.0123994372706973,0.0,0.0,3,Dummy,2025
4,93,0.44086021505376344,0.005019042078892946,-0.0047864072447002,0.0,0.0,3,Dummy,2025
5,92,0.5543478260869565,0.029587080561480482,0.01439957337003865,0.0,0.0,3,Dummy,2025
6,92,0.2826086956521739,-0.02529023179110825,-0.04903325130344595,0.0,0.0,3,Dummy,2025
7,93,0.3010752688172043,-0.02732918988421843,-0.0436772937630307,0.0,0.0,3,Dummy,2025
8,92,0.5543478260869565,0.01848114705385129,0.013234831148515501,0.0,0.0,3,Dummy,2025
9,92,0.6521739130434783,0.05667503819340218,0.025421196692923552,0.0,0.0,3,Dummy,2025
10,93,0.6129032258064516,0.07811061496434822,0.0343040160320022,0.0,0.0,3,Dummy,2025
1,93,0.6129032258064516,0.1209381800297501,0.0701403548943716,0.5789116270298315,0.7158199255970169,3,LogisticRegression,2025
2,92,0.4891304347826087,0.040589512853039196,-0.00424526190212235,0.5514605304741714,0.5787116864672248,3,LogisticRegression,2025
3,92,0.532608695652174,0.021662486685982345,0.0088838048517622,0.5332021051294134,0.5513990555123008,3,LogisticRegression,2025
4,93,0.4731182795698925,0.020288259668127338,-0.006327968861469,0.5197513769405921,0.5331975854581505,3,LogisticRegression,2025
5,92,0.5978260869565217,0.039848021991580926,0.022512894149581,0.5072868883861047,0.5196701577637294,3,LogisticRegression,2025
6,92,0.5217391304347826,0.02944899182845848,0.0045989167017021,0.4945187923513381,0.5072697259677073,3,LogisticRegression,2025
7,93,0.4731182795698925,-0.0025876988090540345,-0.0027793795494451,0.4789878018457399,0.4944894881218816,3,LogisticRegression,2025
8,92,0.43478260869565216,0.011126308586735429,-0.007558752823233549,0.4641467045688181,0.4788593819363184,3,LogisticRegression,2025
9,92,0.42391304347826086,-0.007315823881413179,-0.01983888113601165,0.4409955068176406,0.463803264524739,3,LogisticRegression,2025
10,93,0.3548387096774194,-0.005894706052679027,-0.0297705307247707,0.1513255267188992,0.44071263282342654,3,LogisticRegression,2025
1,93,0.6344086021505376,0.11007524448684497,0.0510991277637581,0.5476665033772719,0.6025291440008962,3,RandomForest,2025
2,92,0.4891304347826087,0.04688128717843289,-0.00475851244172225,0.5379484452043034,0.5476456645220621,3,RandomForest,2025
3,92,0.5869565217391305,0.0646617374390981,0.0335163959131551,0.5256959117293303,0.5379321245013955,3,RandomForest,2025
4,93,0.4838709677419355,0.016153519510323344,-0.0026435986570159,0.517742002889364,0.5255234440856992,3,RandomForest,2025
5,92,0.5652173913043478,0.017410368992588188,0.011040481601792149,0.5112598121962053,0.517738187468437,3,RandomForest,2025
6,92,0.4782608695652174,0.016154698316361897,-0.0064711890809527,0.5028778766059407,0.5112250187050449,3,RandomForest,2025
7,93,0.4731182795698925,0.012140516245542219,-0.0011758966717163,0.49252750472598433,0.502776671809877,3,RandomForest,2025
8,92,0.41304347826086957,-0.003859750412526263,-0.0127360847937431,0.4817654560051084,0.4924794884389921,3,RandomForest,2025
9,92,0.391304347826087,-0.008963938265208688,-0.0300364269710216,0.4664333744539551,0.48173927729620564,3,RandomForest,2025
10,93,0.3978494623655914,-0.002583216126581093,-0.0151442710948404,0.3468274217894842,0.46610000109726385,3,RandomForest,2025
1,93,0.6129032258064516,0.07277434378984077,0.0150388971556409,0.5765708088874817,0.7231822609901428,3,XGBoost,2025
2,92,0.4782608695652174,0.014970513639820172,-0.00938992133440665,0.5416754484176636,0.5753360390663147,3,XGBoost,2025
3,92,0.5652173913043478,0.0349552209612445,0.014396485172280201,0.5208086371421814,0.5416231155395508,3,XGBoost,2025
4,93,0.3978494623655914,0.014940930185704079,-0.0131949198287441,0.5039010643959045,0.5207846760749817,3,XGBoost,2025
5,92,0.3804347826086957,0.020334549865599908,-0.020865883741425152,0.4859594702720642,0.5033392906188965,3,XGBoost,2025
6,92,0.532608695652174,0.03286470334037542,0.0048542169383679005,0.4680286645889282,0.48589006066322327,3,XGBoost,2025
7,93,0.43010752688172044,0.015822682802545056,-0.0076646143298755,0.44458189606666565,0.4679242968559265,3,XGBoost,2025
8,92,0.5217391304347826,0.016955894679773757,0.00325951037024265,0.4058421552181244,0.44380852580070496,3,XGBoost,2025
9,92,0.5652173913043478,0.029785301674192206,0.0160585307830275,0.3712739050388336,0.4056604206562042,3,XGBoost,2025
10,93,0.43010752688172044,0.014855377833438389,-0.0145049013588146,0.26215100288391113,0.3710532486438751,3,XGBoost,2025
