feature_transformed,importance,fold,model
num__feat_technical_priority_score,0.004427306766635344,3,RandomForest
num__feat_kumo_actual_thickness_pct_signal,0.013405146507208839,3,RandomForest
num__feat_volume_rel_signal,0.00959658465379022,3,RandomForest
num__feat_stoch_k_entry,0.01758605650826849,3,RandomForest
num__feat_stoch_d_entry,0.014017460940524092,3,RandomForest
num__feat_stoch_k_minus_d_entry,0.00800500396944662,3,RandomForest
num__feat_stoch_not_extreme_overbought,0.0010652976896326914,3,RandomForest
num__feat_tenkan_sobre_kijun,0.0001820483933973723,3,RandomForest
num__feat_tk_cross_up_today,0.0004562474726237702,3,RandomForest
num__feat_tk_cross_up_recent,0.0006081553594001304,3,RandomForest
num__feat_chikou_above_close_22ago,0.002422006432078013,3,RandomForest
num__feat_chikou_above_high_22ago,0.0036764268778604306,3,RandomForest
num__feat_chikou_above_kumo_22ago,0.0,3,RandomForest
num__feat_dollar_volume_ma20,0.012554972876044495,3,RandomForest
num__feat_kumo_actual_thickness_abs,0.007535617288308193,3,RandomForest
num__feat_kumo_actual_thickness_pct_daily,0.014596892941705,3,RandomForest
num__feat_volume_rel_daily,0.008996015751430905,3,RandomForest
num__feat_stoch_k_daily,0.017556502378616057,3,RandomForest
num__feat_stoch_d_daily,0.016030810046098767,3,RandomForest
num__feat_ret_5d_prior,0.011769144926105896,3,RandomForest
num__feat_ret_10d_prior,0.01275814363218043,3,RandomForest
num__feat_ret_20d_prior,0.019394012127897955,3,RandomForest
num__feat_volatility_20d_prior,0.024203011184598337,3,RandomForest
num__feat_dist_close_to_kijun_pct,0.033504619612559905,3,RandomForest
num__feat_dist_close_to_tenkan_pct,0.009439423984051669,3,RandomForest
num__feat_dist_close_to_kumo_top_pct,0.03481017795246641,3,RandomForest
num__feat_dist_close_to_kumo_bottom_pct,0.033880187032918715,3,RandomForest
num__feat_stoch_k_minus_d_daily,0.008400145106986157,3,RandomForest
num__feat_senkou_a_minus_b_pct,0.009807982152575938,3,RandomForest
num__feat_regime_breadth_precio_sobre_kumo,0.049021301138724875,3,RandomForest
num__feat_regime_breadth_kumo_actual_alcista,0.055388546819204305,3,RandomForest
num__feat_regime_breadth_kumo_futuro_alcista,0.04105979752996973,3,RandomForest
num__feat_regime_breadth_ha2_bullish,0.013937805608149816,3,RandomForest
num__feat_regime_breadth_tenkan_sobre_kijun,0.03388320032335235,3,RandomForest
num__feat_regime_breadth_chikou_sobre_kumo,0.0769603327988564,3,RandomForest
num__feat_regime_breadth_entry_events,0.041990887447002065,3,RandomForest
num__feat_regime_market_ret_5d_mean,0.048634225552976106,3,RandomForest
num__feat_regime_market_ret_20d_mean,0.03330218131736002,3,RandomForest
num__feat_regime_market_vol_20d_mean,0.1983283837807107,3,RandomForest
num__feat_regime_market_volume_rel_mean,0.0504589528031741,3,RandomForest
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.00014849983130721845,3,RandomForest
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.00021322272243475096,3,RandomForest
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.0006760295342561225,3,RandomForest
cat__feat_tk_confirmation_status_no_tk_confirmation_yet,7.48023778827792e-05,3,RandomForest
cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0005215024672741301,3,RandomForest
cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.0007829332156924097,3,RandomForest
cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0004730448956440636,3,RandomForest
cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.0033717225024924398,3,RandomForest
cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,8.722676812473302e-05,3,RandomForest
num__feat_technical_priority_score,0.02524467557668686,3,XGBoost
num__feat_kumo_actual_thickness_pct_signal,0.020868070423603058,3,XGBoost
num__feat_volume_rel_signal,0.021890394389629364,3,XGBoost
num__feat_stoch_k_entry,0.03212278336286545,3,XGBoost
num__feat_stoch_d_entry,0.02279309555888176,3,XGBoost
num__feat_stoch_k_minus_d_entry,0.02025867998600006,3,XGBoost
num__feat_stoch_not_extreme_overbought,0.0,3,XGBoost
num__feat_tenkan_sobre_kijun,0.0,3,XGBoost
num__feat_tk_cross_up_today,0.0,3,XGBoost
num__feat_tk_cross_up_recent,0.0,3,XGBoost
num__feat_chikou_above_close_22ago,0.048445869237184525,3,XGBoost
num__feat_chikou_above_high_22ago,0.0,3,XGBoost
num__feat_chikou_above_kumo_22ago,0.0,3,XGBoost
num__feat_dollar_volume_ma20,0.024049393832683563,3,XGBoost
num__feat_kumo_actual_thickness_abs,0.016932301223278046,3,XGBoost
num__feat_kumo_actual_thickness_pct_daily,0.01981983706355095,3,XGBoost
